



 
१ साउन : कोरोना शुरु भएयता हालसम्म विश्वभर यस सङ्क्रमणबाट ज्यान गुमाउनेको संख्या ४० लाख ६६ हजार नाघेको छ । 
जोन्स हप्किन्स विश्वविद्यालयले दिएको पछिल्लो विवरणअनुसार विश्वभरमा ४० लाख ६६ हजार ५६१ जनाको मृत्यु भएको छ । विश्वभरी कूल सङ्क्रमितको संख्या १८ करोड ८९ लाख २५ हजार २२३ जना रहेका छन । विश्वभर तीन अर्ब ५३ करोड ७२ लाख ५५ हजार ५६४ डोज कोरोनाविरुद्ध खोप लगाइएको छ ।
सो विश्वविद्यालयले जुलाई १६ मा प्रकाशित गरेको विवरणअनुसार कोरोनाबाट अत्यन्त प्रभावित बीस देशका सङ्क्रमित र यस सङ्क्रमणबाट ज्यान गुमाएका नागरिकहरुको संख्या यसप्रकार रहेका छन् ।
देश                                              सङ्क्रमितको संख्या                              कूल मृत्यु
संयुक्त राज्य अमेरिका                    तीन करोड ३९ लाख ७५ हजार ६४२         छ लाख ८ हजार ३९८
भारत                                          तीन करोड १० लाख २६ हजार ८२९          चार लाख १२ हजार ५३१
ब्राजिल                                        एक करोड ९२ लाख ६२ हजार ५१८          पाँच लाख ३८ हजार ९४२
फ्रान्स                                          ५८ लाख ९५ हजार ४५३                         एक लाख ११ हजार ६१९
रुस                                             ५८ लाख १० हजार ३३५                          एक लाख ४३ हजार ६५७
टर्की                                            ५५ लाख ७ हजार ४५५                          ५० हजार ४१५
बेलायत                                        ५३ लाख १ हजार २९६                           एक लाख २८ हजार ८६४
अर्जेन्टिना                                     ४७ लाख १९ हजार ९५२                         एक लाख ६९५
कोलोम्बिया                                   ४५ लाख ८३ हजार ४४२                        एक लाख १४ हजार ८३३
इटाली                                          ४२ लाख ७८ हजार ३१९                        एक लाख २७ हजार ८४०
स्पेन                                             ४० लाख ६९ हजार १६२                        ८१ हजार ८४
जर्मनी                                          ३७ लाख ४८ हजार ३७९                        ९१ हजार ३४६
इरान                                            ३४ लाख ६५ हजार ५५                         ८६ हजार ५९२
पोल्याण्ड                                      २८ लाख ८१ हजार १५१                          ७५ हजार १९१
इन्डोनेसिया                                   २७ लाख २६ हजार ८०३                         ७० हजार १९१
मेक्सिको                                       २६ लाख २९ हजार ६४८                       दुई लाख ३५ हजार ७४०
युक्रेन                                           २३ लाख १४ हजार ८२८                        ५५ हजार ९७
दक्षिण अफ्रिका                              २२ लाख ५३ हजार २४०                       ६५ हजार ९७२
पेरु                                              २० लाख ८८ हजार १४३                        एक लाख ९४ हजार ८४५
नेड्रल्याण्ड                                     १७ लाख ९४ हजार १५८                       १८ हजार ५८
–सिन्ह्वा/Photo: Agency
