



 
७ साउन : कोरोना शुरु भएयता हालसम्म विश्वभर यस सङ्क्रमणबाट ज्यान गुमाउनेको संख्या ४१ लाख २७ हजार नाघेको छ । 
जोन्स हप्किन्स विश्वविद्यालयले दिएको पछिल्लो विवरणअनुसार विश्वभरमा ४१ लाख २७ हजार ६२ जनाको मृत्यु भएको छ । विश्वभरी कूल सङ्क्रमितको संख्या १९ करोड २० लाख ५ हजार ७५ जना रहेका छन । विश्वभर तीन अर्ब ७१ करोड ५८ लाख १ हजार ७१७ डोज कोरोनाविरुद्ध खोप लगाइएको छ ।
सो विश्वविद्यालयले जुलाई २२ मा प्रकाशित गरेको विवरणअनुसार कोरोनाबाट अत्यन्त प्रभावित बीस देशका सङ्क्रमित र यस सङ्क्रमणबाट ज्यान गुमाएका नागरिकहरुको संख्या यसप्रकार रहेका छन् ।
देश                                सङ्क्रमितको संख्या                            कूल मृत्यु
संयुक्त राज्य अमेरिका      तीन करोड ४२ लाख २६ हजार ८०६       छ लाख ९ हजार ८६२
भारत                            तीन करोड १२ लाख ५७ हजार ७२०       चार लाख १८ हजार ९८७
ब्राजिल                          एक करोड ९४ लाख ७३ हजार ९५४      पाँच लाख ४५ हजार ६०४
फ्रान्स                            ५९ लाख ७३ हजार ९१२                      एक लाख ११ हजार ७३७
रुस                               ५९ लाख ५५ हजार ८९                       एक लाख ४८ हजार २२९
बेलायत                          ५५ लाख ८६ हजार ७१६                     एक लाख २९ हजार १८२
टर्की                              ५५ लाख ५४ हजार ३१७                      ५० हजार ७०९
अर्जेन्टिना                       ४७ लाख ९८ हजार ८५१                      एक लाख २ हजार २१८
कोलोम्बिया                     ४६ लाख ७९ हजार ९९४                     एक लाख १७ हजार ४८२
इटाली                            ४२ लाख ९७ हजार ३३७                    एक लाख २७ हजार ९०५
स्पेन                               ४२ लाख १९ हजार ७२३                     ८१ हजार १६६
जर्मनी                             ३७ लाख ५६ हजार ४९७                   ९१ हजार ४६६
इरान                              ३६ लाख ३ हजार ५२७                      ८७ हजार ८३७
इन्डोनेसिया                      २९ लाख ८३ हजार ८३०                     ७७ हजार ५८३
पोल्याण्ड                         २८ लाख ८१ हजार ७१८                     ७५ हजार २२२
मेक्सिको                          २६ लाख ९३ हजार ४९५                    दुई लाख ३७ हजार २०७
दक्षिण अफ्रिका                 २३ लाख २७ हजार ४७२                    ६८ हजार १९२
युक्रेन                              २३ लाख २१ हजार ८१                       ५५ हजार २४५
पेरु                                 २० लाख ९४ हजार ४४५                    एक लाख ९५ हजार २४३
नेड्रल्याण्ड                        १८ लाख ४९ हजार ६५२                    १८ हजार ७२
–सिन्ह्वा/Photo: Agency
