



 
४ साउन : कोरोना शुरु भएयता हालसम्म विश्वभर यस सङ्क्रमणबाट ज्यान गुमाउनेको संख्या ४० लाख ८९ हजार नाघेको छ । 
जोन्स हप्किन्स विश्वविद्यालयले दिएको पछिल्लो विवरणअनुसार विश्वभरमा ४० लाख ८९ हजार १७५ जनाको मृत्यु भएको छ । विश्वभरी कूल सङ्क्रमितको संख्या १९ करोड ४ लाख ४१ हजार ६५४ जना रहेका छन । विश्वभर तीन अर्ब ६३ करोड ६४ लाख ४४ हजार ४ डोज कोरोनाविरुद्ध खोप लगाइएको छ ।
सो विश्वविद्यालयले जुलाई १९ मा प्रकाशित गण्ेको विवरणअनुसार कोरोनाबाट अत्यन्त प्रभावित बीस देशका सङ्क्रमित र यस सङ्क्रमणबाट ज्यान गुमाएका नागरिकहरुको संख्या यसप्रकार रहेका छन् ।
देश                                  सङ्क्रमितको संख्या                        कूल मृत्यु
संयुक्त राज्य अमेरिका       तीन करोड ४० लाख ८० हजार ७        छ लाख ९ हजार २१
भारत                             तीन करोड ११ लाख ४४ हजार २२९     चार लाख १४ हजार १०८
ब्राजिल                           एक करोड ९३ लाख ७६ हजार ५७४    पाँच लाख ४२ हजार २१४
फ्रान्स                             ५९ लाख २९ हजार ९२९                    एक लाख ११ हजार ६६२
रुस                                ५८ लाख ८४ हजार ५९३                    एक लाख ४५ हजार ९७५
टर्की                               ५५ लाख २९ हजार ७१९                    ५० हजार ५५४
बेलायत                           ५४ लाख ५५ हजार २७६                   एक लाख २८ हजार ९८८
अर्जेन्टिना                        ४७ लाख ५६ हजार ३७८                   एक लाख १ हजार ५४९
कोलोम्बिया                      ४६ लाख ३९ हजार ४६६                   एक लाख १६ हजार ६०७
इटाली                             ४२ लाख ८७ हजार ४५८                   एक लाख २७ हजार ८६७
स्पेन                                ४१ लाख २२२                                 ८१ हजार ९६
जर्मनी                             ३७ लाख ५२ हजार २३६                   ९१ हजार ३७०
इरान                               ३५ लाख २३ हजार २६३                    ८७ हजार १६१
पोल्याण्ड                          २८ लाख ८१ हजार ४२४                   ७५ हजार २१५
इन्डोनेसिया                       २८ लाख ७७ हजार ४७६                  ७३ हजार ५८२
मेक्सिको                          २६ लाख ५९ हजार १३७                   दुई लाख ३६ हजार ३३१
युक्रेन                              २३ लाख १८ हजार २१७                    ५५ हजार १७५
दक्षिण अफ्रिका                 २२ लाख ९५ हजार ९५                    ६६ हजार ८५९
पेरु                                 २० लाख ९३ हजार ७५४                   एक लाख ९५ हजार १५६
नेड्रल्याण्ड                        १८ लाख २६ हजार ९१६                    १८ हजार ६१
–सिन्ह्वा/Photo: Agency
