word => count, index
कक्षा =>1516
परीक्षा =>1757
दिएर =>340
बसे =>944
विद्यार्थी =>3915
लक्षित =>584
काठमाडौ =>91
डिल्लीबजार =>24
सफ्टवेरि =>11
कलेज =>1041
बेलायत =>1298
कोभेन्ट्री =>9
विश्वविद्यालय =>1304
सहकार्य =>754
नेपाल =>13377
आईओटी =>5
च्यालेन्ज =>29
घोषणा =>1800
आफू =>1738
प्रतिभा =>218
देखाउन =>141
सक्ने =>1417
प्रतियोगिता =>1243
समूह =>2266
बनाएर =>583
सहभागी =>1231
लिन =>1125
सक्छन् =>339
जना =>7838
सदस्य =>1696
दर्ता =>549
त्यस =>4843
भए =>9112
आयोजना =>2435
दिने =>2346
निशुल्क =>100
बुटक्याम्प =>4
हुनुपर्छ =>283
हाल =>2888
ड्रोन =>54
स्मार्ट =>379
होम =>269
विद्युतिय =>5
सवारी =>667
अटोनोमस =>5
ट्राफिक =>246
म्यानेजमेन्ट =>105
सिस्टम =>419
एग्रिकल्चर =>12
पार्किङ =>157
फ्लड =>3
डिटेक्सन =>10
सेक्युरिटी =>69
फायर =>25
कन्ट्रोल =>102
रोबोट =>225
लगायत =>1907
थुप्रै =>442
कुरा =>967
निर्माण =>4219
गरि =>3411
यस्तै =>1826
बनाउन =>1638
इच्छुक =>174
सोच =>369
भाग =>812
सक्नेछन् =>581
सम्बन्धि =>86
आवश्यक =>1556
प्रशिक्षण =>388
दिइनेछ =>46
सकिए =>502
मिलेर =>285
प्रोजेक्ट =>135
सम्पन्न =>1130
बुझाउनु =>41
उत्कृष्ट =>1220
आकर्षक =>381
नगद =>475
पुरस्कार =>1408
जित्ने =>166
अवसर =>1476
पाउनेछन् =>290
हुने =>762
हजार =>12045
रुपैयाँ =>3754
प्राप्त =>2210
गर्नेछन् =>416
जनाए =>5126
आर्थिक =>1873
वर्ष =>8558
प्रदेश =>3420
औद्योगिक =>130
उत्पादन =>1568
घटे =>561
राष्ट्र =>1030
बैंक =>3258
सार्वजनिक =>3156
तथ्यांक =>531
अघिल्लो =>770
तुलना =>720
गत =>2993
उद्योग =>1238
औसत =>144
क्षमता =>1050
प्रतिशत =>4058
घटेर =>134
आइपुगे =>187
गतिविधि =>546
अध्ययन =>1897
कपडा =>175
बढे =>1800
उल्लेख =>1811
इट्टा =>12
कोभिड =>2922
महामारी =>1725
विदेश =>714
चीन =>2035
बाट =>861
आयात =>549
नसक्दा =>193
स्वदेशी =>229
देखिए =>2375
रोक्न =>315
गरिए =>10041
लकडाउन =>893
निषेधाज्ञा =>507
कारण =>5948
भारतीय =>1280
कामदार =>197
नआउँदा =>40
प्रभावित =>923
बन्दा =>48
धागो =>19
फलामे =>48
छड =>30
जस्तापाता =>12
भटमास =>34
तेल =>194
बढ्दा =>71
वनस्पति =>53
घिउ =>31
लागे =>2612
केन्द्रीय =>797
देखाए =>480
मिथिलाञ्चल =>2
भव्यता =>12
मनाइने =>30
छठ =>114
पर्व =>284
तयारी =>2164
श्रद्धालु =>13
व्रतालु =>20
आज =>2806
नहाए =>1
खाए =>184
विधि =>298
व्रत =>39
शुभारम्भ =>117
प्रयोग =>3497
पूजा =>351
सामग्री =>979
जुटाउन =>58
व्यस्त =>231
अनिवार्य =>546
रुप =>5166
केरा =>162
नरिवल =>28
फलफुल =>11
फलफूल =>121
मण्डी =>3
केरालगाय =>1
किन्न =>146
आउने =>2175
भीड =>221
प्रमुख =>3673
प्रसाद =>230
किन्ने =>93
जनकपुरधाम =>103
बजार =>3032
दिन =>7605
निकै =>2033
प्रत्येक =>638
वर्षझैँ =>3
विक्री =>98
सन्ध्या =>57
व्यापक =>179
वृद्धि =>1057
हरु =>52
महँगो =>123
मूल्य =>2042
बाध्य =>371
साता =>1078
अघि =>1722
दर्जन =>296
बिक्री =>1357
भइ =>3238
कोरोना =>5995
संक्रमण =>1721
गर्दा =>2492
अभाव =>771
खेपे =>19
महासचिव =>376
भूवनेश्वर =>2
पूर्वे =>2
विगत =>843
नरहे =>353
बताए =>11093
उन =>2716
ट्रक =>115
सय =>4636
करोड =>4763
बराबर =>727
भारत =>4592
हाजीपुर =>1
आसाम =>17
समस्तीपुर =>3
सीतामढी =>1
क्षेत्र =>6462
गरिदै =>10
आए =>6761
नवलपरासी =>156
त्रिवेणी =>78
बढी =>4343
मात्रा =>827
भित्रिए =>178
करीब =>260
करिब =>1470
जानकारी =>6409
अर् =>341
व्यवसायी =>1575
जागेश्वर =>19
साह =>336
सस्तो =>255
भित्र्याउँदा =>4
भन्सार =>368
तिर्नु =>122
भएका =>1939
शुल्क =>994
पहिला =>266
मात्रै =>1854
लाग्थ्यो =>99
साढे =>335
पुगेका =>29
पुगे =>3175
दुवै =>1008
राकेश =>55
झाले =>90
पहिले =>165
महँगिए =>4
अर्ब =>1943
ट्रेजरी =>98
बिल =>186
जारी =>2027
भोलि =>220
मंगलबार =>1145
न्यूनतम =>215
अधिकतम =>288
प्रकृति =>304
दिउँसो =>351
बजे =>1232
बोलकबोल =>59
गर्दैछ =>162
अवधि =>1098
आन्तरिक =>1222
ऋण =>363
उठाउन =>168
